,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
4001,2009,2009,MI,Michigan,Total,Total,OVR,OVERALL,26,13.2,11.9,18.4,21.0,35.6,39.5,26.7,38.2
4002,2015,2015,KY,Kentucky,Grade,12th,GRADE,GRADE12,21,12.2,8.6,19.3,14.3,31.8,32.5,20.8,15.7
4009,2011,2011,VT,Vermont,Grade,10th,GRADE,GRADE10,50,18.1,18.6,39.2,30.9,50.0,49.7,27.3,33.7
4034,2013,2013,HI,Hawaii,Gender,Female,GEN,FEMALE,15,12.7,7.0,18.3,14.8,25.0,35.7,17.3,14.0
4052,2015,2015,ND,North Dakota,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,38,14.7,14.0,23.1,14.2,36.1,42.0,22.7,18.9
4085,2015,2015,AZ,Arizona,Grade,12th,GRADE,GRADE12,4,12.7,11.4,19.6,10.9,36.9,39.5,14.2,11.7
4104,2007,2007,LA,Louisiana,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,22,16.6,14.7,26.0,27.4,35.2,30.3,35.2,25.6
4116,2013,2013,US,National,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,59,20.2,14.6,23.2,15.6,40.1,36.8,24.7,14.1
4120,2003,2003,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,2,16.6,17.8,26.4,31.7,46.2,50.2,27.2,25.5
4125,2005,2005,GA,Georgia,Gender,Male,GEN,MALE,13,15.8,16.9,20.4,24.2,39.2,42.6,32.5,32.9
4135,2019,2019,VT,Vermont,Race/Ethnicity,Asian,RACE,RACEASN,50,17.5,12.4,23.3,25.1,39.9,40.8,25.0,22.9
4145,2003,2003,AK,Alaska,Grade,10th,GRADE,GRADE10,2,20.1,16.3,31.8,21.4,43.9,33.8,28.3,26.6
4150,2003,2003,ND,North Dakota,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,38,12.0,9.0,20.2,19.0,37.2,38.9,26.0,27.6
4154,2013,2013,TX,Texas,Grade,9th,GRADE,GRADE09,48,16.0,13.2,33.6,34.8,50.2,49.1,38.5,36.9
4166,2013,2013,NM,New Mexico,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,35,16.4,16.7,21.6,17.6,44.9,43.1,24.5,30.2
4204,2013,2013,IL,Illinois,Total,Total,OVR,OVERALL,17,10.7,11.5,21.3,25.0,34.0,42.9,18.4,22.1
4206,2007,2007,VT,Vermont,Grade,9th,GRADE,GRADE09,50,16.0,13.6,28.1,22.7,40.8,39.7,33.5,41.4
4214,2017,2017,NY,New York,Gender,Male,GEN,MALE,36,14.6,18.3,35.3,35.5,36.8,40.0,29.4,33.9
4248,2007,2007,ND,North Dakota,Gender,Male,GEN,MALE,38,21.9,15.5,28.2,17.9,53.2,43.1,20.0,55.9
4258,2001,2001,AR,Arkansas,Grade,11th,GRADE,GRADE11,5,17.1,12.7,20.1,20.9,41.2,39.1,27.4,29.3
