,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
255,2009,2009,NM,New Mexico,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,35,15.9,15.9,28.1,29.4,41.8,47.4,24.1,18.5
257,2011,2011,AZ,Arizona,Grade,11th,GRADE,GRADE11,4,12.9,9.1,23.3,23.1,34.3,41.0,31.0,25.4
258,2019,2019,FL,Florida,Gender,Male,GEN,MALE,12,15.5,14.8,29.7,25.1,38.7,37.6,19.8,6.2
260,2019,2019,AL,Alabama,Race/Ethnicity,Hispanic,RACE,RACEHIS,1,21.0,14.9,25.8,14.1,46.8,40.5,17.3,15.9
262,2015,2015,DE,Delaware,Race/Ethnicity,Hispanic,RACE,RACEHIS,10,17.2,15.0,18.3,15.7,45.7,44.0,20.2,20.0
264,2017,2017,KS,Kansas,Total,Total,OVR,OVERALL,20,14.2,15.9,20.1,16.0,39.0,51.0,16.8,24.3
266,2009,2009,WY,Wyoming,Gender,Female,GEN,FEMALE,56,9.1,5.9,13.9,11.7,36.8,46.8,19.2,4.9
269,2019,2019,TN,Tennessee,Race/Ethnicity,Hispanic,RACE,RACEHIS,47,23.4,19.8,31.3,18.7,44.2,40.4,20.8,24.2
272,2019,2019,LA,Louisiana,Total,Total,OVR,OVERALL,22,13.1,10.8,19.0,12.0,38.6,49.3,22.0,21.4
273,2019,2019,MS,Mississippi,Race/Ethnicity,Hispanic,RACE,RACEHIS,28,14.4,14.9,19.3,10.7,45.3,53.3,18.1,5.6
276,2019,2019,IA,Iowa,Gender,Female,GEN,FEMALE,19,16.8,14.8,30.5,45.5,39.7,44.5,26.2,25.3
277,2013,2013,AR,Arkansas,Grade,11th,GRADE,GRADE11,5,15.6,16.0,19.9,22.3,46.9,51.2,28.9,19.3
280,2011,2011,KS,Kansas,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,20,14.2,11.5,25.6,28.8,34.3,35.8,30.4,33.0
281,2013,2013,VA,Virginia,Grade,12th,GRADE,GRADE12,51,15.7,17.3,24.9,35.2,38.3,47.0,20.8,12.5
282,2019,2019,OK,Oklahoma,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,40,9.3,8.7,14.8,14.8,36.9,41.1,26.9,22.1
286,2019,2019,ME,Maine,Grade,9th,GRADE,GRADE09,23,10.8,9.4,23.6,26.4,35.0,40.8,22.3,31.8
287,2019,2019,MI,Michigan,Grade,10th,GRADE,GRADE10,26,17.5,13.7,20.6,14.7,41.6,46.4,18.4,17.7
288,2019,2019,MA,Massachusetts,Grade,12th,GRADE,GRADE12,25,15.2,13.2,36.3,32.8,44.5,40.2,27.2,37.4
290,2019,2019,ND,North Dakota,Grade,12th,GRADE,GRADE12,38,11.8,19.0,32.7,24.1,49.1,52.1,27.7,23.1
291,2001,2001,US,National,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,59,18.1,13.6,19.4,14.0,50.6,52.5,24.8,17.2
292,2019,2019,HI,Hawaii,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,15,17.5,13.4,29.1,26.5,54.4,57.2,13.6,15.2
295,2019,2019,NC,North Carolina,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,37,14.7,14.1,32.4,33.3,42.2,46.2,49.9,35.0
297,2009,2009,NM,New Mexico,Grade,9th,GRADE,GRADE09,35,16.6,21.9,45.1,24.9,48.4,40.3,9.7,16.5
299,2019,2019,GA,Georgia,Gender,Male,GEN,MALE,13,15.6,15.2,19.8,19.1,42.4,49.7,30.9,37.0
300,2019,2019,MT,Montana,Grade,11th,GRADE,GRADE11,30,21.8,16.5,56.6,32.9,52.0,40.6,30.6,36.2
301,2017,2017,HI,Hawaii,Grade,10th,GRADE,GRADE10,15,15.5,21.9,18.8,27.3,51.0,51.8,24.8,20.9
305,2019,2019,NH,New Hampshire,Race/Ethnicity,Asian,RACE,RACEASN,33,15.7,15.1,16.3,16.4,36.3,43.1,26.5,20.0
308,2017,2017,OK,Oklahoma,Grade,11th,GRADE,GRADE11,40,13.4,8.3,29.4,11.6,39.2,38.3,27.0,54.5
309,2019,2019,FL,Florida,Race/Ethnicity,Hispanic,RACE,RACEHIS,12,21.6,13.0,21.3,17.2,52.8,51.9,15.9,34.5
310,2019,2019,ME,Maine,Race/Ethnicity,Hispanic,RACE,RACEHIS,23,15.5,26.9,21.1,17.6,44.6,46.6,17.1,20.6
313,2015,2015,KY,Kentucky,Grade,11th,GRADE,GRADE11,21,14.5,11.8,17.2,8.3,49.0,58.7,11.2,6.3
315,2019,2019,FL,Florida,Race/Ethnicity,Asian,RACE,RACEASN,12,15.2,10.2,28.7,29.8,35.5,39.7,25.6,24.8
319,2013,2013,TN,Tennessee,Grade,9th,GRADE,GRADE09,47,15.0,13.9,16.0,14.9,37.3,45.1,22.2,19.6
321,2007,2007,ID,Idaho,Grade,10th,GRADE,GRADE10,16,19.4,23.6,29.6,22.3,57.3,47.9,22.0,18.9
325,2019,2019,IA,Iowa,Grade,11th,GRADE,GRADE11,19,12.9,9.7,15.9,12.4,35.9,45.0,23.7,16.3
327,2019,2019,MD,Maryland,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,24,16.2,14.9,21.6,19.5,39.2,39.8,25.6,30.2
329,2015,2015,SC,South Carolina,Gender,Female,GEN,FEMALE,45,16.2,18.6,20.3,8.4,35.6,58.3,18.4,7.3
332,2011,2011,DE,Delaware,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,10,14.9,13.6,15.7,13.2,42.8,44.1,23.5,24.6
341,2017,2017,TX,Texas,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,48,15.3,12.5,23.9,20.9,36.0,41.8,28.0,18.3
343,2009,2009,TX,Texas,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,48,16.7,21.7,41.6,25.0,52.3,43.9,27.0,23.1
345,2019,2019,KY,Kentucky,Gender,Male,GEN,MALE,21,18.4,14.5,46.6,45.1,47.6,46.5,12.6,16.5
347,2005,2005,GA,Georgia,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,13,13.2,17.5,17.4,17.0,41.7,53.4,23.3,23.4
348,2009,2009,NM,New Mexico,Grade,11th,GRADE,GRADE11,35,15.4,18.6,31.1,31.8,44.3,48.2,22.6,33.6
350,2019,2019,KS,Kansas,Total,Total,OVR,OVERALL,20,17.3,11.7,31.6,37.7,43.7,50.2,14.6,17.6
353,2013,2013,NJ,New Jersey,Grade,12th,GRADE,GRADE12,34,19.8,19.0,29.4,17.8,64.8,50.5,18.8,22.4
356,2019,2019,IA,Iowa,Race/Ethnicity,Hispanic,RACE,RACEHIS,19,17.9,18.8,23.4,23.5,52.5,52.9,22.1,15.9
360,2019,2019,HI,Hawaii,Grade,11th,GRADE,GRADE11,15,21.0,20.1,18.4,16.4,44.1,42.5,24.3,19.0
364,2011,2011,NM,New Mexico,Grade,11th,GRADE,GRADE11,35,19.7,10.6,16.4,15.4,50.5,46.1,18.7,14.0
365,2011,2011,WI,Wisconsin,Grade,10th,GRADE,GRADE10,55,12.6,11.4,14.9,12.3,36.4,47.8,22.2,17.5
367,2017,2017,DE,Delaware,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,10,13.2,11.3,28.7,28.0,35.3,39.8,28.2,25.6
375,2019,2019,NJ,New Jersey,Grade,12th,GRADE,GRADE12,34,15.1,7.5,14.1,11.5,35.4,41.4,14.9,7.1
376,2019,2019,MD,Maryland,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,24,15.8,9.2,22.3,12.3,38.6,33.9,18.9,36.9
379,2019,2019,NV,Nevada,Gender,Male,GEN,MALE,32,19.0,15.6,19.3,26.2,50.7,49.8,23.6,36.0
381,2009,2009,NC,North Carolina,Grade,10th,GRADE,GRADE10,37,12.4,12.1,16.1,11.5,37.4,47.1,22.2,20.6
387,2009,2009,ME,Maine,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,23,16.3,13.4,20.0,20.4,49.3,56.2,23.4,28.5
388,2001,2001,DE,Delaware,Total,Total,OVR,OVERALL,10,14.4,10.0,27.8,20.5,42.3,42.9,34.1,31.9
389,2019,2019,MI,Michigan,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,26,15.2,18.5,19.4,13.0,47.0,48.6,20.7,24.7
390,2011,2011,MI,Michigan,Gender,Male,GEN,MALE,26,14.9,14.0,24.2,32.1,45.2,58.6,22.2,27.5
391,2019,2019,RI,Rhode Island,Total,Total,OVR,OVERALL,44,16.1,15.3,18.5,14.2,45.0,44.6,21.8,24.1
392,2003,2003,WI,Wisconsin,Grade,10th,GRADE,GRADE10,55,16.8,23.4,25.0,33.7,46.1,46.1,33.0,25.6
393,2011,2011,CT,Connecticut,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,9,16.6,15.9,21.1,14.8,41.2,42.6,22.9,26.5
395,2019,2019,NH,New Hampshire,Gender,Male,GEN,MALE,33,20.1,21.0,20.2,27.5,48.7,56.8,23.6,16.2
396,2011,2011,NY,New York,Grade,11th,GRADE,GRADE11,36,17.0,14.7,27.6,15.8,57.3,46.6,21.0,22.2
398,2017,2017,ME,Maine,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,23,16.9,12.8,29.6,30.0,42.5,42.1,29.9,26.7
400,2013,2013,NM,New Mexico,Grade,11th,GRADE,GRADE11,35,14.2,10.6,17.6,9.4,37.9,43.9,15.5,16.1
402,2007,2007,AZ,Arizona,Grade,12th,GRADE,GRADE12,4,12.0,11.2,25.6,12.9,34.8,38.1,25.2,12.8
403,2015,2015,PA,Pennsylvania,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,42,15.7,17.2,23.9,27.0,39.9,38.5,40.4,39.3
405,2007,2007,CT,Connecticut,Grade,9th,GRADE,GRADE09,9,27.3,27.5,22.3,19.0,45.2,46.6,20.8,27.1
407,2011,2011,CO,Colorado,Grade,9th,GRADE,GRADE09,8,13.0,11.5,19.2,12.9,37.7,45.2,25.3,32.8
409,2019,2019,MO,Missouri,Grade,10th,GRADE,GRADE10,29,20.9,26.2,21.7,18.0,47.3,53.1,19.4,12.7
413,2019,2019,NM,New Mexico,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,35,18.6,15.7,36.0,37.3,48.4,52.0,13.6,9.5
414,2009,2009,AL,Alabama,Grade,12th,GRADE,GRADE12,1,18.2,19.7,16.4,19.6,49.5,38.0,23.7,12.9
419,2019,2019,CT,Connecticut,Grade,11th,GRADE,GRADE11,9,14.9,15.3,30.1,37.9,42.5,43.0,38.0,30.6
421,2019,2019,AR,Arkansas,Grade,10th,GRADE,GRADE10,5,21.6,16.0,22.6,23.7,48.6,56.6,32.3,30.6
422,2007,2007,MI,Michigan,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,26,13.8,10.9,22.9,17.2,47.5,39.8,22.5,20.5
424,2015,2015,WY,Wyoming,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,56,14.0,8.8,22.0,31.2,38.6,42.2,25.3,11.1
425,2019,2019,KS,Kansas,Race/Ethnicity,Hispanic,RACE,RACEHIS,20,15.0,16.5,39.7,33.2,50.9,51.5,17.1,16.8
426,2017,2017,MA,Massachusetts,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,25,20.7,17.7,18.9,13.4,50.8,46.0,15.8,57.1
431,2019,2019,SC,South Carolina,Race/Ethnicity,Hispanic,RACE,RACEHIS,45,17.3,14.9,34.7,34.6,40.1,42.9,28.3,33.5
435,2009,2009,KS,Kansas,Grade,10th,GRADE,GRADE10,20,15.4,16.0,32.8,36.6,43.0,47.1,35.6,29.6
436,2007,2007,NV,Nevada,Grade,11th,GRADE,GRADE11,32,10.6,7.0,20.5,15.0,33.5,31.7,22.8,9.3
437,2005,2005,US,National,Gender,Male,GEN,MALE,59,18.6,12.0,25.3,17.2,46.6,43.3,25.5,35.1
439,2017,2017,NY,New York,Grade,11th,GRADE,GRADE11,36,15.4,16.2,18.4,14.4,44.5,47.9,23.5,74.7
442,2011,2011,NE,Nebraska,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,31,19.3,15.3,20.4,18.0,54.8,47.9,15.1,21.1
445,2019,2019,WI,Wisconsin,Grade,10th,GRADE,GRADE10,55,16.0,11.2,32.2,34.4,49.5,50.1,17.2,23.7
446,2019,2019,UT,Utah,Grade,12th,GRADE,GRADE12,49,16.0,17.9,27.9,28.6,45.8,49.2,25.8,22.2
448,2015,2015,CA,California,Gender,Female,GEN,FEMALE,6,13.8,9.0,21.3,19.7,36.5,35.1,24.7,48.4
449,2011,2011,FL,Florida,Grade,11th,GRADE,GRADE11,12,18.9,19.1,25.8,29.0,55.9,51.2,24.8,47.5
454,2019,2019,KY,Kentucky,Grade,9th,GRADE,GRADE09,21,23.8,14.9,56.5,33.8,51.7,42.8,22.6,31.5
455,2013,2013,ND,North Dakota,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,38,14.9,13.9,24.3,28.7,35.9,33.2,33.9,39.0
456,2019,2019,ID,Idaho,Total,Total,OVR,OVERALL,16,16.4,12.3,30.9,25.1,38.8,34.1,31.3,22.6
457,2009,2009,IL,Illinois,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,17,11.0,21.3,18.4,18.9,43.1,60.7,17.0,13.9
458,2015,2015,MD,Maryland,Total,Total,OVR,OVERALL,24,19.3,23.0,20.3,19.0,43.5,54.0,19.9,8.0
461,2015,2015,VT,Vermont,Total,Total,OVR,OVERALL,50,17.6,12.9,21.9,23.7,68.1,50.4,14.6,53.6
464,2019,2019,ID,Idaho,Race/Ethnicity,Hispanic,RACE,RACEHIS,16,12.2,17.5,26.4,13.2,50.0,48.8,30.9,28.9
466,2015,2015,MS,Mississippi,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,28,19.3,24.0,20.6,22.0,29.9,28.7,35.6,35.7
468,2019,2019,MI,Michigan,Total,Total,OVR,OVERALL,26,18.1,14.8,20.2,13.3,47.3,46.5,13.5,17.3
470,2015,2015,WV,West Virginia,Gender,Male,GEN,MALE,54,14.5,11.6,29.1,26.1,42.3,38.7,23.2,71.2
471,2019,2019,US,National,Grade,10th,GRADE,GRADE10,59,14.7,19.5,47.6,40.3,47.2,46.7,22.3,18.5
472,2019,2019,PR,Puerto Rico,Grade,12th,GRADE,GRADE12,72,18.5,21.2,24.9,10.7,54.9,43.5,16.3,20.4
473,2019,2019,AR,Arkansas,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,5,21.0,18.3,58.1,25.8,48.2,44.1,21.9,36.0
474,2019,2019,FL,Florida,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,12,11.9,11.0,20.6,26.3,33.2,38.4,19.6,21.4
475,2019,2019,GA,Georgia,Grade,12th,GRADE,GRADE12,13,10.4,14.5,13.7,14.7,46.2,41.1,38.3,30.3
478,2011,2011,VA,Virginia,Grade,9th,GRADE,GRADE09,51,14.5,16.2,24.4,34.8,33.5,34.5,37.7,24.2
480,2017,2017,ID,Idaho,Gender,Female,GEN,FEMALE,16,22.4,20.3,37.4,19.8,48.3,37.6,10.2,12.3
483,2013,2013,NE,Nebraska,Gender,Male,GEN,MALE,31,14.5,17.7,17.3,24.7,49.6,50.2,19.6,4.5
486,2005,2005,CT,Connecticut,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,9,17.8,13.9,22.6,17.2,41.3,38.3,28.0,56.9
493,2019,2019,MT,Montana,Total,Total,OVR,OVERALL,30,18.0,23.4,27.6,24.7,57.0,50.4,23.4,24.5
497,2015,2015,HI,Hawaii,Grade,12th,GRADE,GRADE12,15,16.8,18.6,37.7,37.1,49.5,45.0,35.4,46.5
500,2003,2003,DE,Delaware,Gender,Male,GEN,MALE,10,8.9,2.5,15.8,4.7,24.0,28.1,23.4,40.9
501,2007,2007,SC,South Carolina,Grade,12th,GRADE,GRADE12,45,18.0,13.5,28.9,20.1,37.0,40.1,27.5,26.3
508,2019,2019,RI,Rhode Island,Gender,Male,GEN,MALE,44,15.2,22.7,18.6,25.3,40.2,47.9,29.1,28.7
509,2011,2011,ND,North Dakota,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,38,12.9,13.8,16.6,18.7,37.6,40.6,25.2,18.2
510,2007,2007,MO,Missouri,Gender,Male,GEN,MALE,29,14.1,8.8,23.1,25.1,66.9,59.5,10.6,0.2
513,2017,2017,FL,Florida,Grade,10th,GRADE,GRADE10,12,14.5,12.3,28.2,20.8,43.1,39.4,24.1,22.2
514,2019,2019,CT,Connecticut,Gender,Female,GEN,FEMALE,9,15.3,11.3,15.3,16.2,42.1,52.0,18.5,25.6
518,2011,2011,SD,South Dakota,Grade,11th,GRADE,GRADE11,46,14.3,9.7,23.4,17.9,45.7,38.5,26.6,33.2
523,2009,2009,SC,South Carolina,Total,Total,OVR,OVERALL,45,17.6,16.1,24.2,22.0,37.1,43.9,20.8,14.8
530,2019,2019,CO,Colorado,Total,Total,OVR,OVERALL,8,14.4,16.4,17.1,10.6,45.9,56.3,17.1,8.5
531,2009,2009,PA,Pennsylvania,Grade,10th,GRADE,GRADE10,42,11.8,5.9,18.2,21.0,40.6,43.3,16.6,15.3
536,2007,2007,MI,Michigan,Gender,Male,GEN,MALE,26,16.0,16.2,32.8,25.6,50.7,41.6,22.4,22.3
541,2013,2013,WI,Wisconsin,Grade,10th,GRADE,GRADE10,55,17.5,26.5,21.7,16.0,42.0,36.5,24.6,22.6
549,2017,2017,AZ,Arizona,Grade,10th,GRADE,GRADE10,4,15.6,11.4,15.9,15.9,38.6,53.8,16.3,14.3
553,2005,2005,US,National,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,59,13.2,14.9,29.8,36.4,34.8,37.7,37.4,24.1
554,2019,2019,AL,Alabama,Gender,Female,GEN,FEMALE,1,16.7,19.5,29.4,22.1,46.3,39.3,26.7,30.1
555,2013,2013,AR,Arkansas,Grade,10th,GRADE,GRADE10,5,16.7,12.5,36.6,33.0,45.1,39.5,30.3,43.0
558,2011,2011,VT,Vermont,Total,Total,OVR,OVERALL,50,14.8,9.4,28.1,19.7,38.7,41.2,15.9,11.9
559,2009,2009,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,2,16.4,17.6,45.4,24.2,48.7,40.6,22.9,14.5
562,2019,2019,KY,Kentucky,Grade,10th,GRADE,GRADE10,21,18.0,16.4,27.8,13.6,54.3,49.7,17.2,12.0
563,2009,2009,WI,Wisconsin,Grade,10th,GRADE,GRADE10,55,20.8,15.8,64.2,29.5,52.7,41.6,22.6,31.9
569,2007,2007,US,National,Race/Ethnicity,Hispanic,RACE,RACEHIS,59,16.0,13.7,28.4,26.0,39.0,35.4,31.6,64.5
570,2019,2019,PA,Pennsylvania,Total,Total,OVR,OVERALL,42,18.4,16.6,32.1,30.1,41.0,42.4,27.1,35.7
572,2013,2013,SD,South Dakota,Grade,11th,GRADE,GRADE11,46,21.7,17.9,23.2,19.7,56.5,51.4,18.1,36.0
573,2001,2001,AL,Alabama,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,1,15.8,12.8,18.7,19.5,38.8,38.3,23.0,29.0
576,2011,2011,WI,Wisconsin,Gender,Male,GEN,MALE,55,14.5,11.2,34.1,26.0,40.4,29.9,29.0,26.9
577,2009,2009,RI,Rhode Island,Gender,Male,GEN,MALE,44,15.1,11.1,22.2,22.4,35.5,41.3,28.9,29.4
580,2019,2019,GU,Guam,Race/Ethnicity,Hispanic,RACE,RACEHIS,66,16.7,16.9,21.9,16.6,45.6,43.7,19.8,13.6
583,2019,2019,DC,District of Columbia,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,11,16.9,20.6,21.5,27.9,54.2,57.6,28.1,26.9
588,2017,2017,CA,California,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,6,20.3,17.6,20.7,15.5,49.9,52.5,21.8,26.0
592,2015,2015,AZ,Arizona,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,4,20.0,19.3,23.0,23.2,53.2,52.2,23.3,21.8
595,2019,2019,MO,Missouri,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,29,14.8,17.9,18.1,22.3,47.5,48.8,26.8,30.1
596,2017,2017,MD,Maryland,Race/Ethnicity,Hispanic,RACE,RACEHIS,24,16.8,10.7,17.1,11.0,40.3,40.2,16.7,34.5
601,2011,2011,IL,Illinois,Total,Total,OVR,OVERALL,17,15.2,7.4,25.3,30.7,35.0,39.5,17.8,24.7
617,2011,2011,DC,District of Columbia,Race/Ethnicity,Hispanic,RACE,RACEHIS,11,16.7,7.7,22.1,14.7,42.4,45.9,17.1,31.9
618,2001,2001,NJ,New Jersey,Gender,Male,GEN,MALE,34,16.4,21.1,31.6,16.9,54.8,47.8,21.1,23.8
623,2019,2019,NY,New York,Race/Ethnicity,Hispanic,RACE,RACEHIS,36,12.1,9.2,19.8,26.0,32.6,40.9,26.4,22.5
624,2011,2011,VT,Vermont,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,50,13.7,14.3,38.4,32.3,39.0,39.8,33.0,32.9
630,2019,2019,KS,Kansas,Grade,9th,GRADE,GRADE09,20,16.1,21.0,19.6,24.4,47.3,52.3,25.5,14.8
632,2017,2017,NY,New York,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,36,14.1,18.5,16.4,17.3,44.3,40.0,31.5,58.6
634,2013,2013,NC,North Carolina,Total,Total,OVR,OVERALL,37,17.3,14.4,21.5,19.3,51.2,48.4,26.7,33.5
638,2019,2019,CA,California,Grade,9th,GRADE,GRADE09,6,14.8,17.5,30.5,32.1,36.3,37.9,33.8,33.7
641,2019,2019,NM,New Mexico,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,35,18.7,13.6,32.3,27.8,57.2,54.1,15.9,28.3
643,2011,2011,LA,Louisiana,Gender,Male,GEN,MALE,22,15.6,14.5,31.3,26.9,37.2,37.2,25.5,22.3
647,2013,2013,NC,North Carolina,Grade,10th,GRADE,GRADE10,37,15.7,14.8,20.0,14.5,41.4,40.8,27.2,34.7
649,2013,2013,NJ,New Jersey,Race/Ethnicity,Asian,RACE,RACEASN,34,16.6,15.5,38.9,39.4,44.6,41.2,21.6,16.6
650,2013,2013,MI,Michigan,Grade,10th,GRADE,GRADE10,26,16.3,16.7,17.1,18.0,44.7,42.6,27.9,31.6
652,2019,2019,NH,New Hampshire,Grade,9th,GRADE,GRADE09,33,13.4,12.2,24.8,24.2,39.6,38.6,34.1,39.3
653,2009,2009,ND,North Dakota,Gender,Male,GEN,MALE,38,18.5,24.5,20.1,11.6,46.0,55.1,19.1,10.1
656,2019,2019,US,National,Total,Total,OVR,OVERALL,59,16.6,12.8,30.9,24.9,40.2,40.1,27.3,21.8
658,2011,2011,MD,Maryland,Grade,11th,GRADE,GRADE11,24,22.4,18.0,29.1,34.4,38.9,36.2,21.6,24.5
659,2005,2005,OK,Oklahoma,Grade,12th,GRADE,GRADE12,40,17.9,17.0,55.7,30.0,51.6,46.3,19.3,17.8
665,2017,2017,UT,Utah,Gender,Male,GEN,MALE,49,20.3,15.7,21.3,12.5,41.5,41.7,21.5,31.4
668,2017,2017,PR,Puerto Rico,Gender,Female,GEN,FEMALE,72,12.7,18.1,17.5,13.4,40.3,46.0,27.6,25.6
673,2019,2019,AZ,Arizona,Grade,12th,GRADE,GRADE12,4,17.1,17.9,36.1,42.8,41.7,42.7,41.8,25.9
674,2003,2003,RI,Rhode Island,Grade,12th,GRADE,GRADE12,44,20.1,18.8,19.0,21.2,52.2,44.6,21.5,9.0
676,2019,2019,PR,Puerto Rico,Race/Ethnicity,Hispanic,RACE,RACEHIS,72,12.5,12.9,20.6,26.1,30.7,37.0,30.3,36.7
677,2017,2017,FL,Florida,Grade,9th,GRADE,GRADE09,12,14.2,11.7,26.8,28.9,36.8,35.9,29.6,44.9
682,2015,2015,ID,Idaho,Grade,10th,GRADE,GRADE10,16,16.6,12.1,31.0,35.7,44.8,50.9,13.3,15.3
683,2013,2013,NM,New Mexico,Grade,12th,GRADE,GRADE12,35,15.0,12.1,17.0,14.8,41.6,45.9,25.9,35.4
686,2019,2019,HI,Hawaii,Gender,Male,GEN,MALE,15,17.4,17.7,22.8,21.5,49.4,48.9,18.5,10.4
692,2019,2019,CT,Connecticut,Grade,9th,GRADE,GRADE09,9,15.9,12.4,27.1,18.7,46.0,36.7,22.8,19.5
695,2019,2019,ID,Idaho,Grade,12th,GRADE,GRADE12,16,12.6,9.9,12.7,9.0,27.4,33.9,14.1,25.1
697,2003,2003,AZ,Arizona,Race/Ethnicity,Hispanic,RACE,RACEHIS,4,15.2,10.5,25.3,24.4,33.0,37.6,28.1,20.2
703,2019,2019,HI,Hawaii,Total,Total,OVR,OVERALL,15,15.9,10.4,32.6,22.2,33.8,37.6,20.4,20.3
706,2009,2009,SD,South Dakota,Gender,Female,GEN,FEMALE,46,17.2,12.7,22.0,17.2,43.1,46.7,13.4,16.3
709,2005,2005,ID,Idaho,Grade,10th,GRADE,GRADE10,16,14.8,12.1,32.6,27.6,43.6,38.4,22.0,62.0
713,2011,2011,FL,Florida,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,12,17.1,22.0,27.0,17.4,57.6,46.9,15.3,12.8
714,2019,2019,NE,Nebraska,Total,Total,OVR,OVERALL,31,13.0,7.5,20.1,23.3,33.5,42.7,26.4,22.5
716,2003,2003,AK,Alaska,Total,Total,OVR,OVERALL,2,16.0,16.1,19.5,20.9,35.8,44.9,29.7,20.9
720,2019,2019,NJ,New Jersey,Grade,10th,GRADE,GRADE10,34,23.0,16.4,35.8,19.5,34.0,36.9,23.9,24.1
726,2019,2019,MI,Michigan,Gender,Female,GEN,FEMALE,26,16.1,13.8,21.3,17.1,48.3,49.4,22.8,16.3
728,2019,2019,ME,Maine,Total,Total,OVR,OVERALL,23,14.3,18.5,27.7,26.3,40.6,44.2,27.2,18.2
729,2019,2019,AK,Alaska,Grade,10th,GRADE,GRADE10,2,17.5,14.3,33.6,42.5,40.4,41.5,33.0,27.7
730,2019,2019,NH,New Hampshire,Grade,11th,GRADE,GRADE11,33,15.9,16.4,21.7,22.8,39.0,46.5,27.8,16.5
731,2017,2017,DE,Delaware,Grade,9th,GRADE,GRADE09,10,18.5,13.2,23.4,20.1,36.5,41.2,30.1,34.7
732,2013,2013,VT,Vermont,Total,Total,OVR,OVERALL,50,13.5,8.8,23.3,21.4,34.3,40.3,31.6,32.4
736,2013,2013,ID,Idaho,Race/Ethnicity,Hispanic,RACE,RACEHIS,16,11.8,7.3,19.3,17.4,33.2,38.1,22.7,22.6
740,2017,2017,VA,Virginia,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,51,12.8,8.0,23.3,19.6,35.9,39.7,19.5,18.9
741,2013,2013,VA,Virginia,Gender,Female,GEN,FEMALE,51,14.6,17.6,27.4,35.8,42.4,52.5,25.6,41.3
743,2011,2011,MD,Maryland,Gender,Male,GEN,MALE,24,16.9,11.5,23.2,11.4,42.6,46.3,18.0,30.4
745,2019,2019,MD,Maryland,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,24,9.6,9.2,22.0,18.0,32.0,39.6,25.7,23.7
746,2007,2007,GA,Georgia,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,13,15.4,13.6,17.4,16.6,43.7,43.5,28.6,8.9
747,2001,2001,ME,Maine,Gender,Female,GEN,FEMALE,23,13.5,12.6,16.3,17.7,41.5,47.4,23.3,13.9
